Date,Index,Open,High,Low,Close,Volume,Currency
2019-08-14,NIFTY 50,11003.25,11078.15,10935.6,11029.4,511540000,INR
2019-08-16,NIFTY 50,11043.65,11068.65,10924.3,11047.8,470910016,INR
2019-08-19,NIFTY 50,11094.8,11146.9,11037.85,11053.9,369489984,INR
2019-08-20,NIFTY 50,11063.9,11076.3,10985.3,11017.0,444720000,INR
2019-08-21,NIFTY 50,11018.15,11034.2,10906.65,10918.7,557870016,INR
2019-08-22,NIFTY 50,10905.3,10908.25,10718.3,10741.35,668190016,INR
2019-08-23,NIFTY 50,10699.6,10862.55,10637.15,10829.35,667080000,INR
2019-08-26,NIFTY 50,11000.3,11070.3,10756.55,11057.85,684140032,INR
2019-08-27,NIFTY 50,11106.55,11141.75,11049.5,11105.35,685550016,INR
2019-08-28,NIFTY 50,11101.3,11129.65,10987.65,11046.1,549960000,INR
2019-08-29,NIFTY 50,10996.05,11021.1,10922.4,10948.3,649880000,INR
2019-08-30,NIFTY 50,10987.8,11042.6,10874.8,11023.25,628150016,INR
2019-09-03,NIFTY 50,10960.95,10967.5,10772.7,10797.9,483040000,INR
2019-09-04,NIFTY 50,10790.4,10858.75,10746.35,10844.65,508780000,INR
2019-09-05,NIFTY 50,10860.95,10920.1,10816.0,10847.9,595699968,INR
2019-09-06,NIFTY 50,10883.8,10957.05,10867.45,10946.2,497209984,INR
2019-09-09,NIFTY 50,10936.7,11028.85,10889.8,11003.05,412470016,INR
2019-09-11,NIFTY 50,11028.5,11054.8,11011.65,11035.7,687139968,INR
2019-09-12,NIFTY 50,11058.3,11081.75,10964.95,10982.8,551440000,INR
2019-09-13,NIFTY 50,10986.8,11084.45,10945.75,11075.9,624310016,INR
2019-09-16,NIFTY 50,10994.85,11052.7,10968.2,11003.5,434449984,INR
2019-09-17,NIFTY 50,11000.1,11000.1,10796.5,10817.6,482009984,INR
2019-09-18,NIFTY 50,10872.8,10885.15,10804.85,10840.65,519160000,INR
2019-09-19,NIFTY 50,10845.2,10845.2,10670.25,10704.8,642600000,INR
2019-09-20,NIFTY 50,10746.8,11381.9,10691.0,11274.2,1356770048,INR
2019-09-23,NIFTY 50,11542.7,11694.85,11471.35,11600.2,882830016,INR
2019-09-24,NIFTY 50,11590.7,11655.05,11539.2,11588.2,651720000,INR
2019-09-25,NIFTY 50,11564.85,11564.95,11416.1,11440.2,629059968,INR
2019-09-26,NIFTY 50,11469.85,11610.85,11466.35,11571.2,844470016,INR
2019-09-27,NIFTY 50,11556.35,11593.6,11499.75,11512.4,650019968,INR
2019-09-30,NIFTY 50,11491.15,11508.25,11390.8,11474.45,756849984,INR
2019-10-01,NIFTY 50,11515.4,11554.2,11247.9,11359.9,1305420032,INR
2019-10-03,NIFTY 50,11322.25,11370.4,11257.35,11314.0,1017480000,INR
2019-10-04,NIFTY 50,11388.45,11400.3,11158.35,11174.75,928520000,INR
2019-10-07,NIFTY 50,11196.2,11233.85,11112.65,11126.4,733200000,INR
2019-10-09,NIFTY 50,11152.95,11321.6,11090.15,11313.3,741150016,INR
2019-10-10,NIFTY 50,11280.5,11293.35,11208.55,11234.55,562019968,INR
2019-10-11,NIFTY 50,11257.7,11362.9,11189.4,11305.05,737800000,INR
2019-10-14,NIFTY 50,11335.9,11420.45,11290.05,11341.15,587580032,INR
2019-10-15,NIFTY 50,11360.85,11462.35,11342.1,11428.3,527400000,INR
2019-10-16,NIFTY 50,11464.95,11481.05,11411.1,11464.0,533470016,INR
2019-10-17,NIFTY 50,11466.3,11599.1,11439.65,11586.35,797569984,INR
2019-10-18,NIFTY 50,11580.3,11684.7,11553.15,11661.85,853440000,INR
2019-10-22,NIFTY 50,11657.15,11714.35,11573.65,11588.35,867600000,INR
2019-10-23,NIFTY 50,11596.2,11651.6,11554.4,11604.1,664160000,INR
2019-10-24,NIFTY 50,11661.65,11679.6,11534.65,11582.6,700480000,INR
2019-10-25,NIFTY 50,11646.15,11646.9,11490.75,11583.9,812030016,INR
2019-10-27,NIFTY 50,11662.25,11672.4,11604.6,11627.15,161779008,INR
2019-10-29,NIFTY 50,11643.95,11809.4,11627.35,11786.85,951720000,INR
2019-10-30,NIFTY 50,11883.9,11883.95,11784.45,11844.1,725219968,INR
2019-10-31,NIFTY 50,11890.45,11945.0,11855.1,11877.45,1414840064,INR
2019-11-01,NIFTY 50,11886.6,11918.3,11843.35,11890.6,855340032,INR
2019-11-04,NIFTY 50,11928.9,11989.15,11905.35,11941.3,823049984,INR
2019-11-05,NIFTY 50,11974.6,11978.95,11861.9,11917.2,631950016,INR
2019-11-06,NIFTY 50,11911.5,12002.9,11850.25,11966.05,603350016,INR
2019-11-07,NIFTY 50,12021.1,12021.4,11946.85,12012.05,562960000,INR
